Spotify,Eventbrite,Subcategory_ID
2-Step/British Garage,Other,3999
Aboriginal Rock,Rock,3017
Acadian,Other,3999
Acappella,Other,3999
Acid Folk,Folk,3007
Acid House,EDM / Electronic,3006
Acid Jazz,Blues & Jazz,3002
Acid Rock,Rock,3017
Acid Techno,EDM / Electronic,3006
Acoustic Blues,Blues & Jazz,3002
Acoustic Chicago Blues,Blues & Jazz,3002
Acoustic Louisiana Blues,Blues & Jazz,3002
Acoustic Memphis Blues,Blues & Jazz,3002
Acoustic New Orleans Blues,Blues & Jazz,3002
Acoustic Texas Blues,Blues & Jazz,3002
Adult Alternative,Alternative,3001
Adult Alternative Pop/Rock,Alternative,3001
Adult Contemporary,Pop,3013
African Folk,Folk,3007
African Jazz,Blues & Jazz,3002
Afro-Beat,Cultural,3005
Afro-Brazilian,Latin,3010
Afro-Colombian,Latin,3010
Afro-Cuban,Latin,3010
Afro-Cuban Jazz,Latin,3010
Afro Peruvian,Latin,3010
Afro-Pop,Cultural,3005
Album Rock,Rock,3017
Al-Jil,Other,3999
Alternative CCM,Alternative,3001
Alternative Country,Alternative,3001
Alternative Country-Rock,Alternative,3001
Alternative Dance,Alternative,3001
Alternative Folk,Alternative,3001
Alternative Metal,Metal,3011
Alternative Pop/Rock,Alternative,3001
Alternative Rap,Alternative,3001
Alternative Rock,Alternative,3001
Alternative Singer/Songwriter,Alternative,3001
Ambient,Other,3999
Ambient Breakbeat,Other,3999
Ambient Dub,Other,3999
Ambient House,EDM / Electronic,3006
Ambient Pop,Pop,3013
Ambient Techno,EDM / Electronic,3006
Americana,Other,3999
American Jewish Pop,Pop,3013
American Popular Song,Pop,3013
American Punk,Rock,3017
American Trad Rock,Rock,3017
American Underground,Other,3999
AM Pop,Pop,3013
Anarchist Punk,Rock,3017
Andalus Classical,Classical,3003
Andean Folk,Folk,3007
Anime Music,Other,3999
Anti-Folk,Folk,3007
Apala,Other,3999
Appalachian Folk,Folk,3007
Arena Rock,Rock,3017
Argentine Folk,Folk,3007
Armenian,Other,3999
Armenian Folk,Folk,3007
Asian Folk,Folk,3007
Asian Pop,Pop,3013
Atonal,Other,3999
Audiobooks,Other,3999
Aussie Rock,Rock,3017
AustroPop,Pop,3013
Avant-Garde,Other,3999
Avant-Garde Jazz,Blues & Jazz,3002
Avant-Prog,Other,3999
Bachata,Other,3999
Bakersfield Sound,Other,3999
Ballads,Other,3999
Ballroom Dance,Other,3999
Banda,Other,3999
Bar Band,Other,3999
Barbershop Quartet,Other,3999
Baroque,Other,3999
Baroque Pop,Pop,3013
Bass Music,Other,3999
Bava,Other,3999
Beach,Other,3999
Beat Poetry,Other,3999
Beguine,Other,3999
Beguine Moderne,Other,3999
Beguine Vide,Other,3999
Belair,Other,3999
Bel Canto Opera,Opera,3012
Belly Dancing,Other,3999
Bhangra,Other,3999
Big Band,Other,3999
Big Band Latino,Latin,3010
Big Beat,Other,3999
Big Room,EDM / Electronic,3006
Bikutsi,Other,3999
Black Gospel,Religious/Spiritual,3016
Blaxploitation,Other,3999
Bluebeat,Other,3999
Blue-Eyed Soul,Blues & Jazz,3002
Bluegrass,Country,3004
Bluegrass-Gospel,Religious/Spiritual,3016
Blue Humor,Other,3999
Blues,Blues & Jazz,3002
Blues Gospel,Religious/Spiritual,3016
Blues Revival,Blues & Jazz,3002
Blues-Rock,Blues & Jazz,3002
Bolero,Other,3999
Bollywood,Cultural,3005
Bombara,Other,3999
Boogaloo,Other,3999
Boogie Rock,Rock,3017
Boogie-Woogie,Other,3999
Bop,Other,3999
Bossa Nova,Other,3999
Brass Band,Other,3999
Brazilian Folk,Folk,3007
Brazilian Jazz,Blues & Jazz,3002
Brazilian Pop,Pop,3013
Brill Building Pop,Pop,3013
British Blues,Blues & Jazz,3002
British Dance Bands,Pop,3013
British Folk,Folk,3007
British Folk-Rock,Rock,3017
British Invasion,Pop,3013
British Metal,Metal,3011
British Psychedelia,Pop,3013
British Punk,Rock,3017
British Rap,Hip Hop / Rap,3008
British Trad Rock,Rock,3017
Britpop,Pop,3013
Broken Beat,Other,3999
Brown-Eyed Soul,Blues & Jazz,3002
Bubblegum,Pop,3013
Bulgarian Folk,Folk,3007
C-86,Other,3999
Cabaret,Other,3999
Cadence,Other,3999
Cajun,Other,3999
Calypso,Other,3999
Canterbury Scene,Other,3999
Caribbean Folk,Folk,3007
Carnatic,Other,3999
Carnival,Other,3999
Carols,Other,3999
Cartoon Music,Pop,3013
Cast Recordings,Pop,3013
CCM,Other,3999
Celebrity,Pop,3013
Celtic,Cultural,3005
Celtic Folk,Folk,3007
Celtic Fusion,Cultural,3005
Celtic Gospel,Religious/Spiritual,3016
Celtic New Age,Cultural,3005
Celtic Pop,Pop,3013
Celtic Rock,Rock,3017
Ceremonial,Religious/Spiritual,3016
Cha-Cha,Latin,3010
Chamber Jazz,Blues & Jazz,3002
